, 股票代號, 股票名稱, 發行股數, 收盤價, 市值(佰萬元),類型,yahooid
164,2332,友訊D-Link,65.1996166,28.7,187122.8996,tw,2332.tw
165,2010,春源鋼鐵Chun Yuan Steel,64.765539,14.35,92938.54847,tw,2010.tw
166,8046,南電N.P.C.,64.6165487,182,1176021.186,tw,8046.tw
167,2376,技嘉GIGABYTE,63.5688886,77.8,494565.9533,tw,2376.tw
168,1608,華榮HE,63.2773506,13.7,86689.97032,tw,1608.tw
169,2363,矽統SiS,63.0967473,17,107264.4704,tw,2363.tw
170,2367,燿華Unitech,61.9407175,22.2,137508.3929,tw,2367.tw
171,3034,聯詠NOVATEK,60.8511469,369,2245407.321,tw,3034.tw
172,1609,大亞電纜TA YA,59.5068022,20.1,119608.6724,tw,1609.tw
173,2401,凌陽Sunplus,59.1994919,18.3,108335.0702,tw,2401.tw
174,1319,東陽TYG,59.1477068,39,230676.0565,tw,1319.tw
175,2851,中再保C.R.C.,59.038875,22.7,134018.2463,tw,2851.tw
176,8926,台汽電TCC,58.9048595,38.7,227961.8063,tw,8926.tw
177,3005,神基MTC,58.622665,48.9,286664.8319,tw,3005.tw
178,2605,新興SNC,58.5353297,22.7,132875.1984,tw,2605.tw
179,1308,亞聚APC,58.2101882,21.5,125151.9046,tw,1308.tw
180,2015,豐興鋼鐵FH,58.1599424,71.1,413517.1905,tw,2015.tw
181,1110,東南水泥TUNA CEMENT,57.2000797,17.9,102388.1427,tw,1110.tw
182,4306,炎洲YEMCHIO,57.0040173,16.5,94056.62855,tw,4306.tw
183,2441,超豐GTK,56.8845921,56,318553.7158,tw,2441.tw
184,2915,潤泰全球RUENTEX IND. LTD,56.4860594,69.7,393707.834,tw,2915.tw
185,2345,智邦Accton,55.9434397,316,1767812.695,tw,2345.tw
186,2539,櫻花建SAKURAD,55.8482668,30.45,170057.9724,tw,2539.tw
187,2331,精英Elitegroup,55.7402968,25.95,144646.0702,tw,2331.tw
188,2329,華泰OSE,55.7042533,15.05,83834.90122,tw,2329.tw
189,2614,東森EMIC,55.6789889,17.45,97159.83563,tw,2614.tw
190,6153,嘉聯益Career Tech.,55.6177694,34.95,194384.1041,tw,6153.tw
191,2204,中華汽車China-Motor,55.3620342,50.6,280131.8931,tw,2204.tw
192,1305,華夏塑膠CGPC,55.3381423,25.45,140835.5722,tw,1305.tw
193,1455,集盛ZIG SHENG,55.000138,11.2,61600.15456,tw,1455.tw
194,1711,永光化學EVERLIGHT,54.7752226,17.05,93391.75453,tw,1711.tw
195,2368,金像GCE,54.6487841,50.5,275976.3597,tw,2368.tw
196,2207,和泰汽車Hotai Motor,54.6179184,643,3511932.153,tw,2207.tw
197,2007,燁興YH,53.0651613,9.62,51048.68517,tw,2007.tw
198,5469,瀚宇博德Board,52.8441352,43.35,229079.3261,tw,5469.tw
199,1310,臺灣苯乙烯T.S.M.C.,52.7869764,18.85,99503.45051,tw,1310.tw
200,3044,健鼎Tripod,52.5605898,118.5,622842.9891,tw,3044.tw
201,1503,士林電機SEEC,52.0972223,50.8,264653.8893,tw,1503.tw
202,2530,華建Delpha Construction,52.0752466,14.05,73165.72147,tw,2530.tw
203,2328,廣宇Pan-International,51.8346282,25.65,132955.8213,tw,2328.tw
204,6282,康舒AcBel,51.6621295,28.95,149561.8649,tw,6282.tw
205,9908,大台北瓦斯GTG,51.6358,34.3,177110.794,tw,9908.tw
206,6191,精成科技GBM,51.5546903,25.25,130175.593,tw,6191.tw
207,6592,和潤企業HOTAI FINANCE,51.5000407,80.6,415090.328,tw,6592.tw
208,2392,正崴FOXLINK,51.232694,47.1,241305.9887,tw,2392.tw
