, 股票代號, 股票名稱
122,8027,鈦昇
317,3512,皇龍
275,4417,金洲製網
221,1586,和勤
349,6207,雷科
145,8924,大田精密
117,6187,萬潤
562,3489,森寶
688,3066,李洲科技
259,6143,振曜科技
638,4529,淳紳
176,3088,艾訊
617,1584,精剛精密
489,6506,雙邦實業
522,3625,西勝
57,5289,宜鼎
123,1597,直得
5,4966,譜瑞-KY
104,4205,中華食品
559,8930,青鋼
200,3092,鴻碩精密
458,6156,松上
225,3323,加百裕
558,6154,順發電腦
465,3685,元創精密
341,3511,矽瑪科技
135,6203,海韻電子
192,3631,晟楠
345,8043,蜜望實
356,6233,旺玖科技
368,3709,鑫聯大投控
212,6237,驊訊電子
530,5344,立衛科技
402,5383,金利
294,4933,友輝
487,4121,優盛醫學
497,4706,大恭化學
477,6161,捷波資訊
476,8354,冠好
276,4129,聯合骨科
572,8418,捷必勝-KY
389,5603,陸海交通
307,4908,前鼎光電
227,3713,新晶投控
301,4745,合富-KY
282,1599,宏佳騰
451,1336,台翰
662,4513,福裕事業
211,4528,江興鍛壓
330,4527,方土霖
40,3218,大學光學
257,6227,茂綸
14,3529,力旺電子
767,8291,尚茂
260,3234,光環
39,3680,家登
353,4535,至興精機
395,6171,亞銳士
164,3163,波若威
539,4716,大立
483,8107,大億金茂
505,5353,台林電通
172,4721,美琪瑪
124,9951,皇田工業
365,3325,旭品
406,4173,久裕
290,6179,亞通利大
156,3388,崇越電通
474,3663,鑫科
525,5481,新華
125,6138,茂達電子
331,3402,漢科
128,3526,凡甲科技
155,8109,博大科技
148,4126,太平洋醫
634,3522,御頂
195,4974,亞泰
673,8176,智捷
517,8937,合騏
403,6609,瀧澤科技
575,4702,中美實
484,6270,倍微科技
439,1742,台蠟
668,4712,南璋
63,6462,神盾
627,5464,霖宏科技
613,6122,擎邦國際
506,8054,安國國際
149,3483,力致科技
11,3293,鈊象電子
432,5703,亞都麗緻
26,6561,是方
207,3479,安勤
606,3354,律勝
398,4303,信立
495,6275,元山科技
261,3484,崧騰
656,3276,宇環科技
354,3689,湧德
596,2064,晉椿
74,4107,邦特生技
23,3152,璟德電子
516,4109,加捷生醫
567,3360,尚立
348,8068,全達國際
531,8040,九暘
637,6160,欣技資訊
498,3615,安可光電
626,8289,泰藝電子
774,2724,富驛-KY
435,3594,磐儀
118,3228,金麗科
499,4541,晟田
585,3390,旭軟電子
51,6803,崑鼎投控
183,8084,巨虹電子
126,4953,緯軟
436,3171,新洲全球
163,3540,曜越
175,6499,益安
671,4198,欣大健康
367,3141,晶宏
527,5455,昇益
325,6217,中國探針
412,5601,台聯貨櫃
298,3259,鑫創科技
196,3226,至寶光電
519,6218,豪勉科技
704,8093,保銳科技
229,3498,陽程
566,5102,富強輪胎
422,4523,永彰機電
61,3691,碩禾
460,4973,廣穎
541,8034,榮群電訊
464,4931,新盛力
216,5403,中菲
191,6263,普萊德
144,3587,閎康科技
674,5210,寶碩
628,6199,天品
370,4153,鈺緯
247,3455,由田新技
297,3317,尼克森
649,5460,同協電子
486,3531,先益電子
618,4711,永純
454,8088,品安科技
645,3466,致振企業
180,3491,昇達科技
357,5015,華祺工業
512,8476,台境
693,6247,淇譽電子
274,5520,力泰建設
153,6438,迅得
181,3548,兆利科技
528,3089,元炬
204,5312,寶島科
661,8401,白紗科技
150,4416,三圓建設
355,6194,育富電子
748,5314,世紀民生
319,8038,長園科
236,3556,禾瑞亞
632,6109,亞元科技
459,3564,其陽
600,5202,力新國際
543,3114,好德科技
310,4803,VHQ-KY
314,6123,上奇科技
267,3213,茂訊電腦
